Image_Number	PMCID	PMID	Title	Journal	Publication_Date	visually detect problem colors (Shades of red, green, and orange)	Contrasts mitigate problem	Labels mitigate problem	Distance mitigates problem	Conclusion (5 types listed in drop down)	Notes
1051	PMC5431908	28496121	ZnO@C (core@shell) microspheres derived from spent coffee grounds as applicable non-precious electrode material for DMFCs	Scientific Reports	5/11/2017	TRUE	Y	N	N	Definitely okay	
1052	PMC9264538	35804445	The role of LCN2 and LCN2-MMP9 in spondylitis radiographic development: gender and HLA-B27 status differences	Arthritis Research &#x00026; Therapy	7/8/2022	FALSE				Definitely okay	
1053	PMC6694122	31413257	A general approach for detecting expressed mutations in AML cells using single cell RNA-sequencing	Nature Communications	8/14/2019	TRUE	N	N	N	Definitely problematic	
1054	PMC4963346	27465600	Inhibition of HIV Virus by Neutralizing Vhh Attached to Dual Functional Liposomes Encapsulating Dapivirine	Nanoscale Research Letters	7/28/2016	FALSE				Gray-scale	
1055	PMC4610430	26402686	Toward Epileptic Brain Region Detection Based on Magnetic Nanoparticle Patterning	Sensors (Basel, Switzerland)	9/22/2015	FALSE				Definitely okay	
1056	PMC8482830	34603762	Effect of Surgical Technique on the Microstructure and Microcirculation of the Small Intestine Stump during Delayed Anastomosis: Multimodal OCT Data	Modern Technologies in Medicine	8/28/2021	FALSE				Definitely okay	
1057	PMC4768678	26925320	Comparison of miRNA expression profiles in pituitary&#x02013;adrenal axis between Beagle and Chinese Field dogs after chronic stress exposure	PeerJ	2/18/2016	FALSE				Definitely okay	
1058	PMC7712825	33273495	Localized UV emitters on the surface of &#x003b2;-Ga	Scientific Reports	12/3/2020	TRUE	Y	Y	N	Probably okay	There is a heatmap, but the contrast might not be enough
1059	PMC3904718	24399173	DELLA proteins modulate defences induced in response to caterpillar herbivory	Journal of Experimental Botany	2/7/2014	TRUE	Y	NA	Y	Definitely okay	
1060	PMC8870490	35202426	Deep brain stimulation of subthalamic nucleus modulates cortical auditory processing in advanced Parkinson&#x02019;s Disease	PLoS ONE	2/24/2022	FALSE				Definitely okay	
1061	PMC9909506	36778189	Telomere-to-telomere and gap-free reference genome assembly of the kiwifruit	Horticulture Research	12/2/2022	TRUE	Y	N	N	Definitely okay	
1062	PMC6222779	30314397	Enzyme-Site Blocking Combined with Optimization of Molecular Docking for Efficient Discovery of Potential Tyrosinase Specific Inhibitors from Radix	Molecules : A Journal of Synthetic Chemistry and Natural Product Chemistry	10/11/2018	FALSE				Gray-scale	
1063	PMC5591182	28887540	Interleukin-22 level is negatively correlated with neutrophil recruitment in the lungs in a pneumonia model	Scientific Reports	9/8/2017	FALSE				Definitely okay	
1064	PMC9743061	36518624	Identification of three Asian otter species ( analysis	Ecology and Evolution	12/12/2022	FALSE				Gray-scale	
1065	PMC3560861	23459630	(Neuroptera, Chrysopidae,&#x000a0;Leucochrysini): taxonomic changes, new description, and&#x000a0;a&#x000a0;key&#x000a0;to&#x000a0;the&#x000a0;species	ZooKeys	12/28/2012	TRUE	N	N	N	Definitely problematic	
1066	PMC5155152	27929110	A diverse intrinsic antibiotic resistome from a cave bacterium	Nature Communications	12/8/2016	FALSE				Definitely okay	
1067	PMC7487258	32953079	Density&#x02010;dependent sex&#x02010;biased development of macroptery in a water strider	Ecology and Evolution	8/5/2020	FALSE				Gray-scale	
1068	PMC7073860	32013026	Comprehensive Geno- and Phenotyping in a Complex Pedigree Including Four Different Inherited Retinal Dystrophies	Genes	1/28/2020	TRUE	Y	Y	Y	Definitely okay	
1069	PMC5607571	28931396	IL-4-induced caveolin-1-containing lipid rafts aggregation contributes to MUC5AC synthesis in bronchial epithelial cells	Respiratory Research	9/20/2017	FALSE				Gray-scale	
1070	PMC8449488	34537011	DELEAT: gene essentiality prediction and deletion design for bacterial genome reduction	BMC Bioinformatics	9/18/2021	TRUE	Y	N	Y	Definitely okay	
1071	PMC5227307	28127383	A Fusion-Based Approach for Breast Ultrasound Image Classification Using Multiple-ROI Texture and Morphological Analyses	Computational and Mathematical Methods in Medicine	12/29/2016	FALSE				Definitely okay	
1072	PMC5614604	28949980	Height and lung cancer risk: A meta-analysis of observational studies	PLoS ONE	9/26/2017	FALSE				Gray-scale	
1073	PMC9124184	35597783	Indocyanine green fluorescence image processing techniques for breast cancer macroscopic demarcation	Scientific Reports	5/21/2022	TRUE	N	N	N	Definitely problematic	
1074	PMC9070720	35510992	Use of diamond sensors for a high-flux, high-rate X-ray pass-through diagnostic	Journal of Synchrotron Radiation	4/25/2022	TRUE	N	N	N	Definitely problematic	
1075	PMC6961410	31937253	Microglia P2X4R-BDNF signalling contributes to central sensitization in a recurrent nitroglycerin-induced chronic migraine model	The Journal of Headache and Pain	1/14/2020	FALSE				Definitely okay	
1076	PMC5681250	28783176	Short stretches of rare codons regulate translation of the transcription factor ZEB2 in cancer cells	Oncogene	11/23/2017	TRUE	Y	Y	Y	Definitely okay	
1077	PMC8024374	33824371	Quantifying surface morphology of manufactured activated carbon and the waste coffee grounds using the Getis-Ord-Gi* statistic and Ripley&#x02019;s K function	Scientific Reports	4/6/2021	FALSE				Definitely okay	
1078	PMC3977837	24709990	Small Theropod Teeth from the Late Cretaceous of the San Juan Basin, Northwestern New Mexico and Their Implications for Understanding Latest Cretaceous Dinosaur Evolution	PLoS ONE	4/7/2014	FALSE				Gray-scale	
1079	PMC6116572	30157923	Osteogenic differentiation of fibroblast-like synovial cells in rheumatoid arthritis is induced by microRNA-218 through a ROBO/Slit pathway	Arthritis Research &#x00026; Therapy	8/29/2018	FALSE				Gray-scale	
1080	PMC8851857	35172874	Comparative analysis of antibody-&#x000a0;and lipid-based multiplexing methods for single-cell RNA-seq	Genome Biology	2/16/2022	TRUE	Y	N	N	Definitely okay	
1081	PMC8774386	35052428	Understanding Transcriptomic and Serological Differences between Forced Molting and Natural Molting in Laying Hens	Genes	12/29/2021	TRUE	Y	Y	N	Definitely okay	
1082	PMC8835244	35162780	Spatial and Temporal Analysis of Impacts of Hurricane Florence on Criteria Air Pollutants and Air Toxics in Eastern North Carolina	International Journal of Environmental Research and Public Health	2/3/2022	FALSE				Definitely okay	
1083	PMC9458462	35979951	Disease-associated inosine misincorporation into RNA hinders translation	Nucleic Acids Research	8/18/2022	TRUE	Y	N	Y	Definitely okay	
1084	PMC6901224	31815946	Extending the information content of the MALDI analysis of biological fluids via multi-million shot analysis	PLoS ONE	12/9/2019	FALSE				Definitely okay	
1085	PMC6701419	31481974	Mesenchymal Stem Cell Therapy Facilitates Donor Lung Preservation by Reducing Oxidative Damage during Ischemia	Stem Cells International	8/5/2019	FALSE				Definitely okay	
1086	PMC6092273	30148205	Inversion effects in the expert classification of mammograms and faces	Cognitive Research: Principles and Implications	8/15/2018	FALSE				Definitely okay	
1087	PMC6457495	30969988	Ultra-rapid object categorization in real-world scenes with top-down manipulations	PLoS ONE	4/10/2019	FALSE				Definitely okay	
1088	PMC6024031	29802020	Autoimmune Th17 Cells Induced Synovial Stromal and Innate Lymphoid Cell Secretion of the Cytokine GM-CSF to Initiate and Augment Autoimmune Arthritis	Immunity	6/19/2018	FALSE				Gray-scale	
1089	PMC9528679	36171048	National priority setting partnership using a Delphi consensus process to develop neonatal research questions suitable for practice-changing randomised trials in the United Kingdom	BMJ Open	9/28/2022	FALSE				Gray-scale	
1090	PMC7532965	33009959	Effect of increased serum 25(OH)D and calcium on structure and function of post-menopausal women: a pilot study	Archives of Osteoporosis	10/3/2020	FALSE				Gray-scale	
1091	PMC7793405	33429750	The efficacy of bosentan combined with vardenafil in the treatment of postoperative pulmonary hypertension in children with congenital heart disease	Medicine	1/8/2021	FALSE				Gray-scale	
1092	PMC9131001	35647535	Tuning of Elasticsearch Configuration: Parameter Optimization Through Simultaneous Perturbation Stochastic Approximation	Frontiers in Big Data	5/11/2022	FALSE				Definitely okay	
1093	PMC5033992	27660282	Cross-talk between macrophages and atrial myocytes in atrial fibrillation	Basic Research in Cardiology	9/22/2016	TRUE	Y	Y	Y	Definitely okay	
1094	PMC3515605	23227199	Donor Hematopoietic Stem Cells Confer Long-Term Marrow Reconstitution by Self-Renewal Divisions Exceeding to That of Host Cells	PLoS ONE	12/5/2012	TRUE	N	N	N	Definitely problematic	
1095	PMC9216598	35755919	Longitudinal tracking of human plasma oxytocin suggests complex responses to moral elevation	Comprehensive Psychoneuroendocrinology	12/22/2021	FALSE				Gray-scale	
1096	PMC3591144	23509691	Comparison of International Normalized Ratio Measurement between CoaguChek XS Plus and STA-R Coagulation Analyzers	BioMed Research International	12/24/2013	FALSE				Gray-scale	
1097	PMC3472927	23077402	Identification of mutations in 11 of 49 families with familial exudative vitreoretinopathy	Molecular Vision	10/4/2012	FALSE				Definitely okay	
1098	PMC5564521	28657901	Increased intraepithelial CD3+ T-lymphocytes and high PD-L1 expression on tumor cells are associated with a favorable prognosis in esophageal squamous cell carcinoma and allow prognostic immunogenic subgrouping	Oncotarget	6/22/2017	FALSE				Definitely okay	
1099	PMC4318131	25623424	Re-annotation of the woodland strawberry () genome	BMC Genomics	1/27/2015	FALSE				Definitely okay	
1100	PMC6516676	31086407	Inflammatory response of mesenchymal stromal cells after exposure with selected trauma-related factors and polytrauma serum	PLoS ONE	5/14/2019	FALSE				Gray-scale	
1101	PMC9139880	35626332	Perceived Stress in Hepatitis C Virus Infected Patients under the DAA-Based Therapy	Diagnostics	5/9/2022	FALSE				Gray-scale	
1102	PMC5127125	27845716	Development and Validation of a LC-ESI-MS/MS Method for the Determination of Toxins Alternariol, Alternariol Methyl-Ether and Tentoxin in Tomato and Tomato-Based Products	Toxins	11/11/2016	TRUE	N	Y	N	Definitely okay	
1103	PMC7519907	32980857	Endothelin 1-induced retinal ganglion cell death is largely mediated by JUN activation	Cell Death &#x00026; Disease	9/26/2020	TRUE	N	N	N	Definitely problematic	
1104	PMC5938536	29743863	Metabolic fingerprinting of joint tissue of collagen-induced arthritis (CIA) rat: In vitro, high resolution NMR (nuclear magnetic resonance) spectroscopy based analysis	EXCLI Journal	3/19/2018	FALSE				Definitely okay	
1105	PMC6651887	31261985	The Influence of Steel Fiber Tensile Strengths and Aspect Ratios on the Fracture Properties of High-Strength Concrete	Materials	6/30/2019	FALSE				Definitely okay	
1106	PMC6802179	31630687	Midlife physical activity is associated with lower incidence of vascular dementia but not Alzheimer&#x02019;s disease	Alzheimer's Research &#x00026; Therapy	10/20/2019	FALSE				Definitely okay	
1107	PMC8878666	35207529	Preliminary In Vitro Cytotoxicity, Mutagenicity and Antitumoral Activity Evaluation of Graphene Flake and Aqueous Graphene Paste	Life	2/7/2022	FALSE				Definitely okay	
1108	PMC8577368	34845440	Probing Affinity, Avidity, Anticooperativity, and Competition in Antibody and Receptor Binding to the SARS-CoV-2 Spike by Single Particle Mass Analyses	ACS Central Science	11/24/2021	FALSE				Definitely okay	
1109	PMC5376589	28421053	Elevated Air Humidity Changes Soil Bacterial Community Structure in the Silver Birch Stand	Frontiers in Microbiology	4/3/2017	FALSE				Definitely okay	
1110	PMC9565682	36231162	Drinking Expectancies among Chinese Young Adults: A Qualitative Study from Hong Kong	International Journal of Environmental Research and Public Health	9/20/2022	FALSE				Gray-scale	
1111	PMC6779678	31632475	Cross-Sectoral Big Data	Asian Bioethics Review	10/1/2019	TRUE	Y	NA	Y	Definitely okay	
1112	PMC9607412	36287801	Computed Tomographic Imaging Features of COVID-19 Pneumonia Caused by the Delta (B.1.617.2) and Omicron (B.1.1.529) Variant in a German Nested Cohort Pilot Study Group	Tomography	9/28/2022	FALSE				Definitely okay	
1113	PMC5100253	27821095	Treatment of a chemoresistant neuroblastoma cell line with the antimalarial ozonide OZ513	BMC Cancer	11/8/2016	FALSE				Gray-scale	
1114	PMC6554478	31213968	Sparse Sampling of Silence Type I Errors With an Emphasis on Primary Auditory Cortex	Frontiers in Neuroscience	5/31/2019	TRUE	N	N	N	Definitely problematic	FIGURE D
1115	PMC9629948	36340969	Evaluation of Behavior of 13X Zeolite Modified with Transition Metals for Catalytic Applications	Bioinorganic Chemistry and Applications	10/26/2022	FALSE				Definitely okay	
1116	PMC7586084	32940648	Graded, multidimensional intra- and intergroup variations in primary progressive aphasia and post-stroke aphasia	Brain	9/17/2020	FALSE				Definitely okay	
1117	PMC6514810	31013647	Looseness Monitoring of Bolted Spherical Joint Connection Using Electro-Mechanical Impedance Technique and BP Neural Networks	Sensors (Basel, Switzerland)	4/22/2019	FALSE				Definitely okay	
1118	PMC3394022	22798887	1-(2,2-Diphenyl&#x000ad;eth&#x000ad;yl)-1-tetra&#x000ad;zole	Acta Crystallographica Section E: Structure Reports Online	6/27/2012	FALSE				Gray-scale	
1119	PMC3846913	24007462	Hybrid debranching and TEVAR of the aortic arch off-pump, in re-do patients with complicated chronic type-A aortic dissections: a critical report	Journal of Cardiothoracic Surgery	9/4/2013	FALSE				Definitely okay	
1120	PMC7190104	32348324	An experimental assessment of algal calcification as a potential source of atmospheric CO	PLoS ONE	4/29/2020	FALSE				Gray-scale	
1121	PMC5314353	28211483	Colonisation in social species: the importance of breeding experience for dispersal in overcoming information barriers	Scientific Reports	2/17/2017	TRUE	Y	Y	N	Definitely okay	
1122	PMC8628452	34839828	Exploring the associations between transcript levels and fluxes in constraint-based models of metabolism	BMC Bioinformatics	11/29/2021	FALSE				Definitely okay	
1123	PMC9203542	35710767	Circulating miR-141 as a potential biomarker for diagnosis, prognosis and therapeutic targets in gallbladder cancer	Scientific Reports	6/16/2022	FALSE				Gray-scale	
1124	PMC4263897	25342747	Dramatic Potentiation of the Antiviral Activity of HIV Antibodies by Cholesterol Conjugation	The Journal of Biological Chemistry	12/12/2014	FALSE				Gray-scale	
1125	PMC6027514	29783754	Silicon Influences Soil Availability and Accumulation of Mineral Nutrients in Various Plant Species	Plants	5/19/2018	TRUE	Y	N	N	Definitely okay	
1126	PMC4796866	26987775	Human Umbilical Vein Endothelial Cells foster conversion of CD4 Regulatory T Cells via Transforming Growth Factor-&#x003b2;	Scientific Reports	3/18/2016	FALSE				Definitely okay	
